# Run baru menggunakan pipeline dan fungsi GWO aplikasi
# Waktu run: 2026-06-22T02:40:10+07:00
# GWO stochastic; aplikasi tidak menetapkan seed eksplisit
# NUM_WOLVES=10; MAX_ITERATIONS=20; DIMENSIONS=2; LOWER_BOUND=[1,1]; UPPER_BOUND=[20,50]
Iterasi	Best Fitness	Best Recall
1	0.370764	0.629236
2	0.342082	0.657918
3	0.328793	0.671207
4	0.328793	0.671207
5	0.313621	0.686379
6	0.295792	0.704208
7	0.295792	0.704208
8	0.295792	0.704208
9	0.295792	0.704208
10	0.253821	0.746179
11	0.253821	0.746179
12	0.253821	0.746179
13	0.253821	0.746179
14	0.253821	0.746179
15	0.253821	0.746179
16	0.253821	0.746179
17	0.253821	0.746179
18	0.253821	0.746179
19	0.253821	0.746179
20	0.253821	0.746179
